ISO,Country,Age,Sex,Smoking Prevalence (%) Male and Female 1980,Smoking Prevalence (%) Male and Female 1980 Lower Bound,Smoking Prevalence (%) Male and Female 1980 Upper Bound,Smoking Prevalence (%) Male and Female 1996,Smoking Prevalence (%) Male and Female 1996 Lower Bound,Smoking Prevalence (%) Male and Female 1996 Upper Bound,Smoking Prevalence (%) Male and Female 2006,Smoking Prevalence (%) Male and Female 2006 Lower Bound,Smoking Prevalence (%) Male and Female 2006 Upper Bound,Smoking Prevalence (%) Male and Female 2012,Smoking Prevalence (%) Male and Female 2012 Lower Bound,Smoking Prevalence (%) Male and Female 2012 Upper Bound,Annualized Rate of Change (%) Male and Female 1980 to 2012,Annualized Rate of Change (%) Male and Female 1980 to 2012 Lower Bound,Annualized Rate of Change (%) Male and Female 1980 to 2012 Upper Bound,Annualized Rate of Change (%) Male and Female 1980 to 1996,Annualized Rate of Change (%) Male and Female 1980 to 1996 Lower Bound,Annualized Rate of Change (%) Male and Female 1980 to 1996 Upper Bound,Annualized Rate of Change (%) Male and Female 1996 to 2006,Annualized Rate of Change (%) Male and Female 1996 to 2006 Lower Bound,Annualized Rate of Change (%) Male and Female 1996 to 2006 Upper Bound,Annualized Rate of Change (%) Male and Female 2006 to 2012,Annualized Rate of Change (%) Male and Female 2006 to 2012 Lower Bound,Annualized Rate of Change (%) Male and Female 2006 to 2012 Upper Bound
G,Global,Age-standardized,Both,25.9,25.1,26.6,23.4,23.1,23.7,19.7,19.4,20.0,18.7,18.2,19.1,-1.0,-1.1,-0.9,-0.6,-0.8,-0.4,-1.7,-1.9,-1.5,-0.9,-1.3,-0.5
AFG,Afghanistan,Age-standardized,Both,11.1,9.3,12.9,12.2,10.3,14.3,12.8,10.6,15.0,12.9,10.9,15.1,0.5,-0.2,1.2,0.6,-0.8,1.9,0.5,-1.4,2.3,0.1,-2.4,2.5
AGO,Angola,Age-standardized,Both,9.0,7.5,10.7,9.2,7.6,11.0,9.1,7.6,10.8,9.0,7.4,10.8,0.0,-0.9,0.8,0.1,-1.5,1.6,0.0,-2.4,2.1,-0.2,-3.1,2.7
ALB,Albania,Age-standardized,Both,22.7,19.9,25.5,21.6,19.3,24.0,18.6,17.0,20.2,20.9,18.7,23.2,-0.3,-0.7,0.3,-0.3,-1.3,0.6,-1.5,-2.9,-0.2,1.9,0.1,3.5
AND,Andorra,Age-standardized,Both,32.5,28.3,36.8,33.4,30.5,36.5,30.9,28.0,33.9,29.2,26.8,31.7,-0.3,-0.8,0.2,0.2,-0.8,1.1,-0.8,-2.1,0.5,-0.9,-2.6,0.9
ARE,United Arab Emirates,Age-standardized,Both,16.7,13.6,19.7,16.1,14.5,17.9,13.4,11.5,15.4,13.7,11.6,16.0,-0.6,-1.3,0.2,-0.2,-1.5,1.2,-1.9,-3.7,0.0,0.4,-2.2,2.9
ARG,Argentina,Age-standardized,Both,26.6,22.9,30.4,25.5,22.2,29.3,23.4,21.8,25.0,19.8,18.2,21.5,-0.9,-1.4,-0.4,-0.3,-1.4,0.8,-0.9,-2.3,0.6,-2.8,-4.4,-1.1
ARM,Armenia,Age-standardized,Both,26.7,24.4,29.1,27.8,25.6,29.9,27.1,25.8,28.3,26.8,25.0,28.5,0.0,-0.4,0.4,0.3,-0.4,1.0,-0.3,-1.1,0.6,-0.1,-1.3,1.0
ATG,Antigua and Barbuda,Age-standardized,Both,5.2,4.3,6.2,3.7,3.0,4.5,3.4,2.8,4.1,3.3,2.7,4.0,-1.4,-2.2,-0.6,-2.1,-3.8,-0.5,-0.9,-3.3,1.4,-0.2,-3.3,2.6
AUS,Australia,Age-standardized,Both,30.8,28.8,32.9,24.1,23.1,25.1,19.0,17.9,20.1,16.8,15.3,18.3,-1.9,-2.2,-1.6,-1.5,-2.0,-1.0,-2.4,-3.1,-1.7,-2.0,-3.7,-0.4
