ISO,Country,Development Level,Year,Age,Sex,Total Tobacco Consumption,Total Tobacco Consumption Lower Bound,Total Tobacco Consumption Upper Bound
,Global,Global,1980,All-ages,Both,4958198.1,4782593.4,5159879.4
,Global,Global,1981,All-ages,Both,5025558.2,4864583.7,5207533
,Global,Global,1982,All-ages,Both,5115628.8,4967032.2,5277365
,Global,Global,1983,All-ages,Both,5211047.5,5071792.8,5363912.9
,Global,Global,1984,All-ages,Both,5294675.4,5168512.9,5434265
,Global,Global,1985,All-ages,Both,5370543.6,5252632.3,5502577.7
,Global,Global,1986,All-ages,Both,5438383.8,5326366,5560296
,Global,Global,1987,All-ages,Both,5500660,5391481,5621328.9
,Global,Global,1988,All-ages,Both,5555810.9,5448124.6,5670555.9
,Global,Global,1989,All-ages,Both,5602225.2,5498919.2,5713119.2
,Global,Global,1990,All-ages,Both,5652813.7,5545547.3,5762218.7
,Global,Global,1991,All-ages,Both,5711262.2,5604412.8,5823751.3
,Global,Global,1992,All-ages,Both,5770668.4,5664623.6,5881421.9
,Global,Global,1993,All-ages,Both,5826846.1,5720549.4,5937160.5
,Global,Global,1994,All-ages,Both,5875777.8,5763362.7,5986298.9
,Global,Global,1995,All-ages,Both,5921768.4,5812288.2,6032339.2
,Global,Global,1996,All-ages,Both,5963144.6,5855370.5,6070094.3
,Global,Global,1997,All-ages,Both,5996459.7,5894056.2,6101843.1
,Global,Global,1998,All-ages,Both,6026052.2,5922992.2,6133889.1
,Global,Global,1999,All-ages,Both,6049539.4,5944065.4,6161190.9
,Global,Global,2000,All-ages,Both,6059298.5,5951878.3,6170561.5
,Global,Global,2001,All-ages,Both,6073334.6,5965785.1,6187021.5
,Global,Global,2002,All-ages,Both,6086904.6,5980740.9,6205571.3
,Global,Global,2003,All-ages,Both,6100926.4,5993410.3,6219912.7
,Global,Global,2004,All-ages,Both,6104949.1,5997962.2,6222494.3
,Global,Global,2005,All-ages,Both,6107530.1,6000156.9,6221014.2
,Global,Global,2006,All-ages,Both,6106912,5999676.6,6222320.8
,Global,Global,2007,All-ages,Both,6105326.8,5995672.6,6227146.8
,Global,Global,2008,All-ages,Both,6112155.1,5997944.4,6242800
,Global,Global,2009,All-ages,Both,6145414.8,6024827.8,6284305.8
,Global,Global,2010,All-ages,Both,6173423.1,6038877.1,6331133.1
,Global,Global,2011,All-ages,Both,6205898,6057403.9,6377188.6
,Global,Global,2012,All-ages,Both,6246068.5,6071822.3,6438490.5
AFG,Afghanistan,Developing,1980,All-ages,Both,1531.1,1313.2,1774.1
AFG,Afghanistan,Developing,1981,All-ages,Both,1513.3,1313.3,1730.9
AFG,Afghanistan,Developing,1982,All-ages,Both,1491.4,1308,1691
AFG,Afghanistan,Developing,1983,All-ages,Both,1464.5,1291.8,1646.6
AFG,Afghanistan,Developing,1984,All-ages,Both,1432.8,1274.9,1602.7
AFG,Afghanistan,Developing,1985,All-ages,Both,1403.1,1259.9,1563.5
AFG,Afghanistan,Developing,1986,All-ages,Both,1383.6,1251.9,1533.7
AFG,Afghanistan,Developing,1987,All-ages,Both,1356.3,1230.5,1499.1
AFG,Afghanistan,Developing,1988,All-ages,Both,1337.3,1213.3,1475.5
AFG,Afghanistan,Developing,1989,All-ages,Both,1341.5,1215.7,1481.8
AFG,Afghanistan,Developing,1990,All-ages,Both,1378.5,1244.2,1523.4
AFG,Afghanistan,Developing,1991,All-ages,Both,1445.8,1299.9,1600.8
AFG,Afghanistan,Developing,1992,All-ages,Both,1539,1375.3,1717.1
AFG,Afghanistan,Developing,1993,All-ages,Both,1610.6,1429.1,1811.9
AFG,Afghanistan,Developing,1994,All-ages,Both,1643.9,1439,1872.6
AFG,Afghanistan,Developing,1995,All-ages,Both,1682.6,1450.2,1941
AFG,Afghanistan,Developing,1996,All-ages,Both,1690.1,1433,1972.7
AFG,Afghanistan,Developing,1997,All-ages,Both,1678.5,1401.1,1979.9
AFG,Afghanistan,Developing,1998,All-ages,Both,1659.8,1363.7,1981
AFG,Afghanistan,Developing,1999,All-ages,Both,1648.2,1332.7,1997.7
AFG,Afghanistan,Developing,2000,All-ages,Both,1652.6,1323.2,2028.6
AFG,Afghanistan,Developing,2001,All-ages,Both,1673.3,1319.5,2076.2
AFG,Afghanistan,Developing,2002,All-ages,Both,1772.3,1382.9,2216.2
AFG,Afghanistan,Developing,2003,All-ages,Both,1903.6,1483.8,2388.5
AFG,Afghanistan,Developing,2004,All-ages,Both,2033.1,1576.9,2574.5
AFG,Afghanistan,Developing,2005,All-ages,Both,2176.5,1673.5,2766.5
AFG,Afghanistan,Developing,2006,All-ages,Both,2321.7,1771.4,2988.1
AFG,Afghanistan,Developing,2007,All-ages,Both,2491.7,1890.1,3243.4
AFG,Afghanistan,Developing,2008,All-ages,Both,2657.3,2002.7,3481.9
AFG,Afghanistan,Developing,2009,All-ages,Both,2868.5,2148.7,3771.2
AFG,Afghanistan,Developing,2010,All-ages,Both,3091.9,2299.3,4099.9
AFG,Afghanistan,Developing,2011,All-ages,Both,3320.9,2459.4,4424
AFG,Afghanistan,Developing,2012,All-ages,Both,3550.8,2608.2,4768.3
AGO,Angola,Developing,1980,All-ages,Both,2944.4,2532,3374.8
AGO,Angola,Developing,1981,All-ages,Both,3083.9,2698.5,3490.1
AGO,Angola,Developing,1982,All-ages,Both,3236,2857.4,3616.2
