ISO,Country,Year,Age,Sex,Total Tobacco Consumption,Total Tobacco Consumption Lower Bound,Total Tobacco Consumption Upper Bound
,Global,1980,All-ages,Both,"4,958,198.1","4,782,593.4","5,159,879.4"
,Global,1981,All-ages,Both,"5,025,558.2","4,864,583.7","5,207,533.0"
,Global,1982,All-ages,Both,"5,115,628.8","4,967,032.2","5,277,365.0"
,Global,1983,All-ages,Both,"5,211,047.5","5,071,792.8","5,363,912.9"
,Global,1984,All-ages,Both,"5,294,675.4","5,168,512.9","5,434,265.0"
,Global,1985,All-ages,Both,"5,370,543.6","5,252,632.3","5,502,577.7"
,Global,1986,All-ages,Both,"5,438,383.8","5,326,366.0","5,560,296.0"
,Global,1987,All-ages,Both,"5,500,660.0","5,391,481.0","5,621,328.9"
,Global,1988,All-ages,Both,"5,555,810.9","5,448,124.6","5,670,555.9"
,Global,1989,All-ages,Both,"5,602,225.2","5,498,919.2","5,713,119.2"
,Global,1990,All-ages,Both,"5,652,813.7","5,545,547.3","5,762,218.7"
,Global,1991,All-ages,Both,"5,711,262.2","5,604,412.8","5,823,751.3"
,Global,1992,All-ages,Both,"5,770,668.4","5,664,623.6","5,881,421.9"
,Global,1993,All-ages,Both,"5,826,846.1","5,720,549.4","5,937,160.5"
,Global,1994,All-ages,Both,"5,875,777.8","5,763,362.7","5,986,298.9"
,Global,1995,All-ages,Both,"5,921,768.4","5,812,288.2","6,032,339.2"
,Global,1996,All-ages,Both,"5,963,144.6","5,855,370.5","6,070,094.3"
,Global,1997,All-ages,Both,"5,996,459.7","5,894,056.2","6,101,843.1"
,Global,1998,All-ages,Both,"6,026,052.2","5,922,992.2","6,133,889.1"
,Global,1999,All-ages,Both,"6,049,539.4","5,944,065.4","6,161,190.9"
,Global,2000,All-ages,Both,"6,059,298.5","5,951,878.3","6,170,561.5"
,Global,2001,All-ages,Both,"6,073,334.6","5,965,785.1","6,187,021.5"
,Global,2002,All-ages,Both,"6,086,904.6","5,980,740.9","6,205,571.3"
,Global,2003,All-ages,Both,"6,100,926.4","5,993,410.3","6,219,912.7"
,Global,2004,All-ages,Both,"6,104,949.1","5,997,962.2","6,222,494.3"
,Global,2005,All-ages,Both,"6,107,530.1","6,000,156.9","6,221,014.2"
,Global,2006,All-ages,Both,"6,106,912.0","5,999,676.6","6,222,320.8"
,Global,2007,All-ages,Both,"6,105,326.8","5,995,672.6","6,227,146.8"
,Global,2008,All-ages,Both,"6,112,155.1","5,997,944.4","6,242,800.0"
,Global,2009,All-ages,Both,"6,145,414.8","6,024,827.8","6,284,305.8"
,Global,2010,All-ages,Both,"6,173,423.1","6,038,877.1","6,331,133.1"
,Global,2011,All-ages,Both,"6,205,898.0","6,057,403.9","6,377,188.6"
,Global,2012,All-ages,Both,"6,246,068.5","6,071,822.3","6,438,490.5"
AFG,Afghanistan,1980,All-ages,Both,"1,531.1","1,313.2","1,774.1"
AFG,Afghanistan,1981,All-ages,Both,"1,513.3","1,313.3","1,730.9"
AFG,Afghanistan,1982,All-ages,Both,"1,491.4","1,308.0","1,691.0"
