Reporter	Year	HS code level	Base nomenclature	Product	Number of subheadings	Number of lines	Number of AVDuties	AVDuty average	AVDuty minimum	AVDuty maximum	Percent duty free	Number of non AVDuties	List of non AVDuties	Exchange rate	Import value	List of unit values	Description
"Albania"	2014	6	"HS12"	240220	1	2	2	10	10	10	0	0	""	""	""	""	"Cigarettes, containing tobacco"
"Albania"	2013	6	"HS12"	240220	1	2	2	10	10	10	0	0	""	105.669	""	""	"Cigarettes, containing tobacco"
"Albania"	2012	6	"HS12"	240220	1	2	2	10	10	10	0	0	""	108.185	""	""	"Cigarettes, containing tobacco"
"Albania"	2011	6	"HS07"	240220	1	2	2	10	10	10	0	0	""	100.895	64825.5944879548	"[$ 20.0 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Albania"	2010	6	"HS07"	240220	1	2	2	10	10	10	0	0	""	103.936	99221.2416758116	"[$ 22.0 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Algeria"	2010	6	"HS07"	240220	1	2	2	30	30	30	0	0	""	74.386	""	""	"Cigarettes, containing tobacco"
"Angola"	2013	6	"HS02"	240220	1	1	1	30	30	30	0	0	""	96.518	""	""	"Cigarettes, containing tobacco"
"Angola"	2012	6	"HS02"	240220	1	1	1	30	30	30	0	0	""	95.468	""	""	"Cigarettes, containing tobacco"
"Angola"	2011	6	"HS02"	240220	1	1	1	30	30	30	0	0	""	93.935	""	""	"Cigarettes, containing tobacco"
"Angola"	2010	6	"HS02"	240220	1	1	1	30	30	30	0	0	""	91.906	""	""	"Cigarettes, containing tobacco"
"Angola"	2009	6	"HS07"	240220	1	1	1	30	30	30	0	0	""	79.328	""	""	"Cigarettes, containing tobacco"
"Antigua and Barbuda"	2013	6	"HS07"	240220	1	1	1	35	35	35	0	0	""	2.7	1318.6188223	"[$ 41.5 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Antigua and Barbuda"	2012	6	"HS07"	240220	1	1	1	35	35	35	0	0	""	2.7	1750.2616089	"[$ 24.6 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Antigua and Barbuda"	2011	6	"HS02"	240220	1	1	1	35	35	35	0	0	""	2.7	1296.0973445	"[$ 19.9 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Antigua and Barbuda"	2010	6	"HS02"	240220	1	1	1	35	35	35	0	0	""	2.7	1455.3854298	"[$ 25.8 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Antigua and Barbuda"	2009	6	"HS96"	240220	1	1	1	35	35	35	0	0	""	2.7	1605.5866165	"[$ 26.3 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Argentina"	2012	6	"HS07"	240220	1	1	1	20	20	20	0	0	""	4.537	7993.339	"[$ 23.3 per Kilogram net weight]"	"Cigarettes, containing tobacco"
"Argentina"	2011	6	"HS07"	240220	1	1	1	20	20	20	0	0	""	4.11	15666.206	""	"Cigarettes, containing tobacco"
