Reporter	Year	Tariff_Regime	Base nomenclature	Product	Number of subheadings	No_of_National_TL	No_of_AVDuty	AVDuty_avg	AVDuty_min	AVDuty_max	Pct_DutyFree	No_of_Non_AVDuty	List_Non_AVDuty	No_of_TL_DiffDuty	Description
"Antigua and Barbuda"	2013	"Customs Union Caribbean Community and Common Market (CARICOM)"	"HS07"	240220	1	1	1	0	0	0	100	0	""	1	"Cigarettes, containing tobacco"
"Antigua and Barbuda"	2012	"Customs Union Caribbean Community and Common Market (CARICOM)"	"HS07"	240220	1	1	1	0	0	0	100	0	""	1	"Cigarettes, containing tobacco"
"Argentina"	2012	"Free trade agreement duty rates for Southern Common Market (MERCOSUR)"	"HS07"	240220	1	1	1	0	0	0	100	0	""	1	"Cigarettes, containing tobacco"
"Argentina"	2012	"Prefrential agreement duty rates for Bolivia under Latin American Integration Association (ALADI:AR)"	"HS07"	240220	1	1	1	10.4	10.4	10.4	0	0	""	1	"Cigarettes, containing tobacco"
"Argentina"	2012	"Prefrential agreement duty rates for Brazil under Latin American Integration Association (ALADI:AR)"	"HS07"	240220	1	1	1	16	16	16	0	0	""	1	"Cigarettes, containing tobacco"
"Argentina"	2012	"Prefrential agreement duty rates for Chile under Latin American Integration Association (ALADI:AR)"	"HS07"	240220	1	1	1	14.4	14.4	14.4	0	0	""	1	"Cigarettes, containing tobacco"
"Argentina"	2012	"Prefrential agreement duty rates for Colombia under Latin American Integration Association (ALADI:AR)"	"HS07"	240220	1	1	1	14.4	14.4	14.4	0	0	""	1	"Cigarettes, containing tobacco"
"Argentina"	2012	"Prefrential agreement duty rates for Cuba under Latin American Integration Association (ALADI:AR)"	"HS07"	240220	1	1	1	14.4	14.4	14.4	0	0	""	1	"Cigarettes, containing tobacco"
"Argentina"	2012	"Prefrential agreement duty rates for Ecuador under Latin American Integration Association (ALADI:AR)"	"HS07"	240220	1	1	1	12	12	12	0	0	""	1	"Cigarettes, containing tobacco"
"Argentina"	2012	"Prefrential agreement duty rates for Mexico under Latin American Integration Association (ALADI:AR)"	"HS07"	240220	1	1	1	16	16	16	0	0	""	1	"Cigarettes, containing tobacco"
"Argentina"	2012	"Prefrential agreement duty rates for Paraguay under Latin American Integration Association (ALADI:AR)"	"HS07"	240220	1	1	1	10.4	10.4	10.4	0	0	""	1	"Cigarettes, containing tobacco"
"Argentina"	2012	"Prefrential agreement duty rates for Uruguay under Latin American Integration Association (ALADI:AR)"	"HS07"	240220	1	1	1	14.4	14.4	14.4	0	0	""	1	"Cigarettes, containing tobacco"
"Argentina"	2012	"Prefrential agreement duty rates for Venezuela under Latin American Integration Association (ALADI:AR)"	"HS07"	240220	1	1	1	14.4	14.4	14.4	0	0	""	1	"Cigarettes, containing tobacco"
"Argentina"	2012	"Prefrential agreement duty rates for Bolivia (AAP)"	"HS07"	240220	1	1	1	0	0	0	100	0	""	1	"Cigarettes, containing tobacco"
"Argentina"	2012	"Prefrential agreement duty rates for Brazil (AAP)"	"HS07"	240220	1	1	1	0	0	0	100	0	""	1	"Cigarettes, containing tobacco"
