Reporter	HS code level	Base nomenclature	Product	Number of subheadings	Binding	Number of lines	Number of AVDuties	AVDuty average	AVDuty minimum	AVDuty maximum	Percent duty free	Number of non AVDuties	List of non AVDuties	SSG	ODC Number of lines dutiable	ODC AVDuty average	ODC Number of non AV duties	ODC List of non AV duties	List of present instruments	Implementation year	List of INRs	Description
"Albania"	6	"HS07"	240220	1	"B"	1	1	20	20	20	0	0	""	0	0	0	0	""	"[ALB/00]"	"[   .]"	"[BGR] [CHE] [EEC] [KGZ] [MEX]"	"Cigarettes, containing tobacco"
"Angola"	6	"HS07"	240220	1	"B"	1	1	55	55	55	0	0	""	0	1	0.1	0	""	"[UR/94]"	"[   .]"	""	"Cigarettes, containing tobacco"
"Antigua and Barbuda"	6	"HS07"	240220	1	"B"	1	1	100	100	100	0	0	""	0	0	0	0	""	"[UR/94]"	"[   .]"	""	"Cigarettes, containing tobacco"
"Argentina"	6	"HS96"	240220	1	"B"	1	1	35	35	35	0	0	""	0	1	3	0	""	"[G/SECRET/HS96/30]"	"[1995]"	""	"Cigarettes, containing tobacco"
"Armenia"	6	"HS07"	240220	1	"B"	1	1	15	15	15	0	0	""	0	0	0	0	""	"[ARM/03]"	"[   .]"	"[BGR] [MEX] [POL]"	"Cigarettes, containing tobacco"
"Bahrain, Kingdom of"	6	"HS07"	240220	1	"B"	1	1	35	35	35	0	0	""	0	0	0	0	""	"[UR/94]"	"[   .]"	""	"Cigarettes, containing tobacco"
"Bangladesh"	6	"HS96"	240220	1	"B"	1	1	200	200	200	0	0	""	0	1	2.5	0	""	"[UR/94]"	"[1995]"	""	"Cigarettes, containing tobacco"
"Barbados"	6	"HS07"	240220	1	"B"	1	1	100	100	100	0	0	""	0	1	70	0	""	"[UR/94]"	"[   .]"	""	"Cigarettes, containing tobacco"
"Belize"	6	"HS07"	240220	1	"B"	1	1	110	110	110	0	0	""	0	1	89	0	""	"[UR/94]"	"[   .]"	""	"Cigarettes, containing tobacco"
"Benin"	6	"HS07"	240220	1	"B"	1	1	75	75	75	0	0	""	0	0	0	0	""	"[CRM2/64]"	"[   .]"	"[USA]"	"Cigarettes, containing tobacco"
"Bolivia, Plurinational State of"	6	"HS07"	240220	1	"B"	2	2	40	40	40	0	0	""	0	0	0	0	""	"[UR/94]"	"[   .]"	""	"Cigarettes, containing tobacco"
"Botswana"	6	"HS02"	240220	1	"B"	1	1	54	54	54	0	0	""	1	0	0	0	""	"[UR/94]"	"[   .]"	""	"Cigarettes, containing tobacco"
"Brazil"	6	"HS02"	240220	1	"B"	1	1	35	35	35	0	0	""	0	0	0	0	""	"[WT/Let/468]"	"[   .]"	""	"Cigarettes, containing tobacco"
"Brunei Darussalam"	6	"HS07"	240220	1	"B"	1	0	""	""	""	0	1	"[132 $/kg]"	0	0	0	0	""	"[WT/Let/385]"	"[   .]"	""	"Cigarettes, containing tobacco"
"Burkina Faso"	6	"HS07"	240220	1	"B"	1	1	75	75	75	0	0	""	0	0	0	0	""	"[CRM2/64]"	"[   .]"	"[USA]"	"Cigarettes, containing tobacco"
"Burundi"	6	"HS07"	240220	1	"B"	1	1	100	100	100	0	0	""	0	1	30	0	""	"[UR/94]"	"[   .]"	""	"Cigarettes, containing tobacco"
"Cabo Verde"	6	"HS07"	240220	1	"B"	1	1	25	25	25	0	0	""	0	1	0.5	0	""	"[CPV/08]"	"[2013]"	""	"Cigarettes, containing tobacco"
"Cambodia"	6	"HS07"	240220	1	"B"	1	1	40	40	40	0	0	""	0	0	0	0	""	"[KHM/03]"	"[   .]"	"[IND] [JPN]"	"Cigarettes, containing tobacco"
"Cameroon"	6	"HS07"	240220	1	"B"	1	1	80	80	80	0	0	""	0	0	""	0	""	"[UR/94]"	"[   .]"	""	"Cigarettes, containing tobacco"
"Central African Republic"	6	"HS07"	240220	1	"B"	1	1	30	30	30	0	0	""	0	1	16	0	""	"[UR/94]"	"[   .]"	""	"Cigarettes, containing tobacco"
"Chad"	6	"HS07"	240220	1	"B"	1	1	80	80	80	0	0	""	0	0	0	0	""	"[UR/94]"	"[   .]"	""	"Cigarettes, containing tobacco"
"Chile"	6	"HS07"	240220	1	"B"	1	1	25	25	25	0	0	""	0	0	""	0	""	"[UR/94]"	"[   .]"	""	"Cigarettes, containing tobacco"
