Country,Year,Consumption
All Developing,1980,3209910
All Developing,1981,3284693
All Developing,1982,3369656
All Developing,1983,3464079
All Developing,1984,3558316
All Developing,1985,3648330
All Developing,1986,3730254
All Developing,1987,3807810
All Developing,1988,3883371
All Developing,1989,3951232
All Developing,1990,4020465
All Developing,1991,4087509
All Developing,1992,4152468
All Developing,1993,4210839
All Developing,1994,4264736
All Developing,1995,4317316
All Developing,1996,4368635
All Developing,1997,4417899
All Developing,1998,4466766
All Developing,1999,4513558
All Developing,2000,4552309
All Developing,2001,4590597
All Developing,2002,4627151
All Developing,2003,4665157
All Developing,2004,4697213
All Developing,2005,4730419
All Developing,2006,4763173
All Developing,2007,4795710
All Developing,2008,4831198
All Developing,2009,4878740
All Developing,2010,4926869
All Developing,2011,4982072
All Developing,2012,5044852
China,1980,1028168
China,1981,1088814.4
China,1982,1151159.1
China,1983,1214225.6
China,1984,1277968.5
China,1985,1339930.4
China,1986,1397484
China,1987,1450368.8
China,1988,1498422.2
China,1989,1540476.3
China,1990,1577993.8
China,1991,1612046.8
China,1992,1643781.5
China,1993,1673934.9
China,1994,1703281.5
China,1995,1732122
China,1996,1761286.4
China,1997,1790798.7
China,1998,1819664.1
China,1999,1846805.6
China,2000,1871836.5
China,2001,1895149.9
China,2002,1918047.1
China,2003,1941655.4
China,2004,1966947.9
China,2005,1995127.7
China,2006,2026904.6
China,2007,2062919.7
China,2008,2102048.7
China,2009,2144742.5
China,2010,2191852.4
China,2011,2242954.7
China,2012,2297281.8
India,1980,316676.5
India,1981,330168
India,1982,343346.3
India,1983,355937.6
India,1984,367961.3
India,1985,379258
India,1986,389799.4
India,1987,399468.7
India,1988,407699.5
India,1989,414707.3
India,1990,420481.7
India,1991,425537.6
India,1992,429337.5
India,1993,432016.6
India,1994,433334.9
India,1995,433166
India,1996,431859
India,1997,429693.3
India,1998,426531.6
India,1999,422086.3
India,2000,417056.8
India,2001,411449.4
India,2002,405418.8
India,2003,398794.9
India,2004,391603.6
India,2005,383919.1
India,2006,375858.3
India,2007,367464.3
India,2008,359499.3
India,2009,351600.2
India,2010,343693.7
India,2011,336179.6
India,2012,329235.2
Russia,1980,303477.6
Russia,1981,299074.6
Russia,1982,294732.8
Russia,1983,290414
Russia,1984,286172.1
Russia,1985,282207.6
Russia,1986,278668
Russia,1987,275590
Russia,1988,272724.4
Russia,1989,270190.3
Russia,1990,268372.2
Russia,1991,267320
Russia,1992,267432.8
Russia,1993,266497.8
Russia,1994,269240.4
Russia,1995,273260.4
Russia,1996,277751.5
Russia,1997,283145.8
Russia,1998,289309.5
Russia,1999,295131.2
Russia,2000,300378.2
Russia,2001,305111.1
Russia,2002,309149.6
Russia,2003,314450.1
Russia,2004,317280.9
Russia,2005,320132.7
Russia,2006,322856.5
Russia,2007,325606.1
Russia,2008,328437.5
Russia,2009,331884.2
Russia,2010,334839.5
Russia,2011,339166.3
Russia,2012,343298.7
Brazil,1980,216014
Brazil,1981,210030.8
Brazil,1982,208201.1
Brazil,1983,213280
Brazil,1984,217395.1
Brazil,1985,218565.8
Brazil,1986,214322.6
Brazil,1987,210432.9
Brazil,1988,209838.6
Brazil,1989,209522.9
Brazil,1990,214552.5
Brazil,1991,219379.7
Brazil,1992,226097
Brazil,1993,230268.4
Brazil,1994,231525.2
Brazil,1995,230409.9
Brazil,1996,229552.8
Brazil,1997,227126.5
Brazil,1998,226687.5
Brazil,1999,227952.8
Brazil,2000,226638.8
Brazil,2001,226535.4
Brazil,2002,226460.4
Brazil,2003,228024.1
Brazil,2004,226380.4
Brazil,2005,224154.8
Brazil,2006,220087.3
Brazil,2007,212555.5
Brazil,2008,203015.5
Brazil,2009,196999.5
Brazil,2010,187791.9
Brazil,2011,179414.3
Brazil,2012,172673.2
