Country,Year,Tariff
All Developing,1996,78.07
All Developing,1997,78.07
All Developing,1998,78.07
All Developing,1999,78.07
All Developing,2000,78.07
All Developing,2001,78.07
All Developing,2002,78.07
All Developing,2003,78.07
All Developing,2004,78.07
All Developing,2005,78.07
All Developing,2006,78.07
All Developing,2007,78.07
All Developing,2008,78.07
All Developing,2009,78.07
All Developing,2010,78.07
All Developing,2011,78.07
All Developing,2012,78.07
Brazil,1996,35
Brazil,1997,35
Brazil,1998,35
Brazil,1999,35
Brazil,2000,35
Brazil,2001,35
Brazil,2002,35
Brazil,2003,35
Brazil,2004,35
Brazil,2005,35
Brazil,2006,35
Brazil,2007,35
Brazil,2008,35
Brazil,2009,35
Brazil,2010,35
Brazil,2011,35
Brazil,2012,35
China,1996,25
China,1997,25
China,1998,25
China,1999,25
China,2000,25
China,2001,25
China,2002,25
China,2003,25
China,2004,25
China,2005,25
China,2006,25
China,2007,25
China,2008,25
China,2009,25
China,2010,25
China,2011,25
China,2012,25
India,1996,150
India,1997,150
India,1998,150
India,1999,150
India,2000,150
India,2001,150
India,2002,150
India,2003,150
India,2004,150
India,2005,150
India,2006,150
India,2007,150
India,2008,150
India,2009,150
India,2010,150
India,2011,150
India,2012,150
Russia,1996,
Russia,1997,
Russia,1998,
Russia,1999,
Russia,2000,
Russia,2001,
Russia,2002,
Russia,2003,
Russia,2004,
Russia,2005,
Russia,2006,
Russia,2007,
Russia,2008,
Russia,2009,
Russia,2010,
Russia,2011,
Russia,2012,
