Country,Year,Tariff
All Developing,1996,33.2548387097
All Developing,1997,40.9306756757
All Developing,1998,34.4510869565
All Developing,1999,32.2836956522
All Developing,2000,32.5883928571
All Developing,2001,33.2569230769
All Developing,2002,36.4987012987
All Developing,2003,29.0353846154
All Developing,2004,28.2711864407
All Developing,2005,29.6617647059
All Developing,2006,25.71875
All Developing,2007,28.5231481481
All Developing,2008,29.3466666667
All Developing,2009,29.6144578313
All Developing,2010,29.5180851064
All Developing,2011,28.5619565217
All Developing,2012,30.408045977
Brazil,1996,
Brazil,1997,23
Brazil,1998,23
Brazil,1999,23
Brazil,2000,23
Brazil,2001,22.5
Brazil,2002,21.5
Brazil,2003,
Brazil,2004,20
Brazil,2005,20
Brazil,2006,20
Brazil,2007,20
Brazil,2008,20
Brazil,2009,20
Brazil,2010,20
Brazil,2011,20
Brazil,2012,20
China,1996,70
China,1997,65
China,1998,
China,1999,
China,2000,
China,2001,57
China,2002,35
China,2003,25
China,2004,25
China,2005,25
China,2006,25
China,2007,25
China,2008,25
China,2009,25
China,2010,25
China,2011,25
China,2012,
India,1996,52
India,1997,45
India,1998,40
India,1999,44
India,2000,38.5
India,2001,35
India,2002,30
India,2003,30
India,2004,30
India,2005,30
India,2006,30
India,2007,30
India,2008,30
India,2009,30
India,2010,30
India,2011,30
India,2012,30
Russia,1996,
Russia,1997,
Russia,1998,
Russia,1999,
Russia,2000,
Russia,2001,
Russia,2002,
Russia,2003,
Russia,2004,
Russia,2005,
Russia,2006,
Russia,2007,
Russia,2008,
Russia,2009,
Russia,2010,
Russia,2011,
Russia,2012,
